Feature,Importance
Traffic_Status_Heavy,0.3429713481129534
Traffic_Status_Clear,0.09863436732020743
Traffic_Status_Detour,0.08857235351225504
Inventory_Level,0.06647058692306788
Waiting_Time,0.0630715750842963
Temperature,0.0628740887035117
Asset_Utilization,0.061445593960680084
Humidity,0.060227442815025144
User_Transaction_Amount,0.05860766519093861
User_Purchase_Frequency,0.036815536669587964
Asset_ID_Truck_10,0.011413440512900708
Asset_ID_Truck_4,0.006804891845626975
Asset_ID_Truck_2,0.005891137787975089
Asset_ID_Truck_7,0.005866950072212726
Asset_ID_Truck_6,0.005485999515566192
Asset_ID_Truck_5,0.005277325540321607
Asset_ID_Truck_8,0.005088169778830468
Asset_ID_Truck_1,0.005049349490984118
Asset_ID_Truck_9,0.004746962377685408
Asset_ID_Truck_3,0.004685214785373253
