Feature,Importance
Competitor Pricing,0.19880524666435606
Price,0.19722990780546865
Month_Num,0.07783043185852953
Discount,0.04818787286660619
Holiday/Promotion,0.0163909442593401
Region_South,0.013232578414788924
Seasonality_Spring,0.013034406779050352
Region_North,0.01290058482901242
Region_West,0.012652837837846145
Region_East,0.01261064280933912
Seasonality_Autumn,0.012555369335177391
Category_Electronics,0.012133039664947297
Category_Clothing,0.012089579239680202
Seasonality_Winter,0.012052376552712674
Seasonality_Summer,0.012007633830962467
Category_Toys,0.01190970072740126
Category_Groceries,0.01182019221815423
Weather Condition_Sunny,0.011786712082339277
DayOfWeek_Wednesday,0.011432770363881784
Store ID_S005,0.01140888065686563
Weather Condition_Snowy,0.011361894551682315
DayOfWeek_Saturday,0.011277083458848076
Category_Furniture,0.011224817814689087
Store ID_S002,0.011213844696852292
DayOfWeek_Sunday,0.011209333302860518
DayOfWeek_Friday,0.011084040044282352
DayOfWeek_Thursday,0.011030951023250364
Store ID_S001,0.010677825389395053
Weather Condition_Cloudy,0.010556475071615423
DayOfWeek_Tuesday,0.010461205878829628
Store ID_S003,0.010420805106284072
DayOfWeek_Monday,0.010277684299304956
Store ID_S004,0.010274051969863062
Weather Condition_Rainy,0.009864899796937714
Product ID_P0003,0.007980584714901973
Product ID_P0020,0.0067918414480556836
Product ID_P0013,0.00679106864115528
Product ID_P0018,0.006652796680005375
Product ID_P0015,0.006623302181566739
Product ID_P0010,0.006531026970085754
Product ID_P0002,0.006494218163980686
Product ID_P0008,0.006482275677668938
Product ID_P0019,0.006464086066078637
Product ID_P0017,0.0064550288629846905
Product ID_P0006,0.0064094056529970245
Product ID_P0014,0.00636025941437024
Product ID_P0004,0.0061519153685227305
Product ID_P0001,0.006089738078098959
Product ID_P0009,0.006084466753832105
Product ID_P0005,0.006054531301116788
Product ID_P0007,0.005997600264531311
Product ID_P0016,0.005783440398091365
Product ID_P0011,0.005401957369346206
Product ID_P0012,0.005393834791454955
